Competition,Team,Opponent,Venue,GF,GA,Win,Draw,Loss,Points,CleanSheet,FailedToScore
NLM-EZ,Daystar University Men,Gorillas,Home,2,3,0,0,1,0,0,0
NLM-EZ,Daystar University Men,Parklands Sports Club – Legacy,Home,0,1,0,0,1,0,0,1
NLM-EZ,Daystar University Men,Ulinzi Patriots,Home,1,2,0,0,1,0,0,0
NLM-EZ,Gorillas,Mombasa Sports Club,Home,1,1,0,1,0,1,0,0
NLM-EZ,Gorillas,Mombasa West,Home,1,2,0,0,1,0,0,0
NLM-EZ,Gorillas,Parklands Sports Club – Legacy,Home,1,1,0,1,0,1,0,0
NLM-EZ,Gorillas,Snippers Hockey Club (Makueni),Home,1,0,1,0,0,3,1,0
NLM-EZ,Gorillas,Ulinzi Patriots,Home,0,2,0,0,1,0,0,1
NLM-EZ,Mombasa Sports Club,Black Tigers,Home,1,1,0,1,0,1,0,0
NLM-EZ,Mombasa Sports Club,Parklands Sports Club – Legacy,Home,1,1,0,1,0,1,0,0
NLM-EZ,Mombasa West,Black Tigers,Home,3,1,1,0,0,3,0,0
NLM-EZ,Mombasa West,Mombasa Sports Club,Home,1,2,0,0,1,0,0,0
NLM-EZ,Mombasa West,Parklands Sports Club – Legacy,Home,2,2,0,1,0,1,0,0
NLM-EZ,Parklands Sports Club – Legacy,Snippers Hockey Club (Makueni),Home,2,0,1,0,0,3,1,0
NLM-EZ,Parklands Sports Club – Legacy,UoN Cubs,Home,1,3,0,0,1,0,0,0
NLM-EZ,Snippers Hockey Club (Makueni),Black Tigers,Home,0,1,0,0,1,0,0,1
NLM-EZ,Snippers Hockey Club (Makueni),Daystar University Men,Home,1,2,0,0,1,0,0,0
NLM-EZ,Snippers Hockey Club (Makueni),Ulinzi Patriots,Home,1,2,0,0,1,0,0,0
NLM-EZ,TUK Men,Black Tigers,Home,3,2,1,0,0,3,0,0
NLM-EZ,TUK Men,Gorillas,Home,1,2,0,0,1,0,0,0
NLM-EZ,Ulinzi Patriots,Black Tigers,Home,2,1,1,0,0,3,0,0
NLM-EZ,Ulinzi Patriots,Mombasa Sports Club,Home,2,2,0,1,0,1,0,0
NLM-EZ,Ulinzi Patriots,Mombasa West,Home,0,0,0,1,0,1,1,1
NLM-EZ,Ulinzi Patriots,Parklands Sports Club – Legacy,Home,1,2,0,0,1,0,0,0
NLM-EZ,Ulinzi Patriots,UoN Cubs,Home,3,1,1,0,0,3,0,0
NLM-EZ,UoN Cubs,Daystar University Men,Home,1,0,1,0,0,3,1,0
NLM-EZ,UoN Cubs,Snippers Hockey Club (Makueni),Home,1,0,1,0,0,3,1,0
NLM-CZ,Dukes of Gloucester,Nyari Hockey Club,Home,5,0,1,0,0,3,1,0
