Competition_x,Season,MatchNo,Date,Time,HomeTeam,AwayTeam,HomeGoals,AwayGoals,URL,TotalGoals,Competition_y,HomeStrength,Competition,AwayStrength,StrengthDifference,GoalDifference,Outcome
SLM,2026,113.0,07-06-2026,12:00,Parkroad Badgers,KCA University,2,4,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-parkroad-badgers-vs-kca-university/,6,SLM,0.88,SLM,1.66,-0.78,-2,Away Win
SLM,2026,,20-06-2026,14:00,Parkroad Badgers,Nakuru Hockey Club,3,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-parkroad-badgers-vs-nakuru-hockey-club/,4,SLM,0.88,SLM,0.76,0.12,2,Home Win
SLM,2026,99.0,06-06-2026,13:00,Parkroad Badgers,Parkroad Tigers,1,2,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-parkroad-badgers-vs-parkroad-tigers/,3,SLM,0.88,SLM,0.72,0.16,-1,Away Win
SLM,2026,,05-07-2026,15:00,Parkroad Badgers,Strathmore University,1,4,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-parkroad-badgers-vs-strathmore-university/,5,SLM,0.88,SLM,1.62,-0.74,-3,Away Win
SLM,2026,,19-07-2026,15:00,Parkroad Badgers,Wazalendo Masters,1,3,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-parkroad-badgers-vs-wazalendo-masters/,4,SLM,0.88,SLM,0.72,0.16,-2,Away Win
SLM,2026,,20-06-2026,12:00,Parkroad Tigers,KCA University,1,7,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-parkroad-tigers-vs-kca-university/,8,SLM,0.72,SLM,1.66,-0.94,-6,Away Win
SLM,2026,,21-06-2026,09:00,Parkroad Tigers,Nakuru Hockey Club,1,0,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-parkroad-tigers-vs-nakuru-hockey-club/,1,SLM,0.72,SLM,0.76,-0.04,1,Home Win
SLM,2026,,14-06-2026,11:00,Parkroad Tigers,Strathmore University,0,4,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-parkroad-tigers-vs-strathmore-university/,4,SLM,0.72,SLM,1.62,-0.9,-4,Away Win
SLM,2026,,18-07-2026,11:00,Parkroad Tigers,Wazalendo Masters,3,2,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-parkroad-tigers-vs-wazalendo-masters/,5,SLM,0.72,SLM,0.72,0.0,1,Home Win
SLM,2026,,04-07-2026,13:00,Strathmore University,Impala,3,3,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-strathmore-university-vs-impala/,6,SLM,1.62,SLM,0.96,0.66,0,Draw
SLM,2026,,13-06-2026,13:00,Strathmore University,UON Men,1,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-strathmore-university-vs-uon-men/,2,SLM,1.62,SLM,0.85,0.77,0,Draw
SLM,2026,,27-06-2026,14:00,Strathmore University,Wazalendo Masters,2,0,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-strathmore-university-vs-wazalendo-masters/,2,SLM,1.62,SLM,0.72,0.9,2,Home Win
SLM,2026,100.0,06-06-2026,15:00,UON Men,KCA University,0,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-uon-men-vs-kca-university/,1,SLM,0.85,SLM,1.66,-0.81,-1,Away Win
SLM,2026,,21-06-2026,13:00,UON Men,Parkroad Badgers,1,4,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-uon-men-vs-parkroad-badgers/,5,SLM,0.85,SLM,0.88,-0.03,-3,Away Win
