Competition,Date,Team,Opponent,GF,GA,Venue,Win,Draw,Loss,Points,Last5Points
PLM,2026-08-30,Wazalendo,Western Jaguars,1,3,Away,0,0,1,0,6.0
PLM,2026-05-23,Western Jaguars,Kisumu Youngsters,2,1,Home,1,0,0,3,
PLM,2026-05-30,Western Jaguars,Wazalendo,2,3,Away,0,0,1,0,
PLM,2026-05-31,Western Jaguars,Greensharks,3,0,Away,1,0,0,3,
PLM,2026-06-06,Western Jaguars,USIU – A,4,2,Home,1,0,0,3,
PLM,2026-06-07,Western Jaguars,Parklands Sports Club,0,1,Home,0,0,1,0,9.0
PLM,2026-06-13,Western Jaguars,Kenya Police,0,0,Away,0,1,0,1,7.0
PLM,2026-06-14,Western Jaguars,Daikyo Heroes,3,1,Home,1,0,0,3,10.0
PLM,2026-06-20,Western Jaguars,Warriors,3,3,Home,0,1,0,1,8.0
PLM,2026-06-21,Western Jaguars,Sikh Union Nairobi,3,1,Home,1,0,0,3,8.0
PLM,2026-08-29,Western Jaguars,Greensharks,3,0,Home,1,0,0,3,11.0
PLM,2026-08-30,Western Jaguars,Wazalendo,3,1,Home,1,0,0,3,13.0
PLW,2026-05-23,Amira Sailors Hockey Club,UON Ladies,1,0,Away,1,0,0,3,
PLW,2026-05-24,Amira Sailors Hockey Club,Blazers Hockey Club,0,3,Home,0,0,1,0,
PLW,2026-06-01,Amira Sailors Hockey Club,Sliders Hockey Club,0,0,Home,0,1,0,1,
PLW,2026-06-20,Amira Sailors Hockey Club,Strathmore University Ladies,0,0,Away,0,1,0,1,
PLW,2026-06-27,Amira Sailors Hockey Club,Kisumu Queens,0,0,Away,0,1,0,1,6.0
PLW,2026-06-28,Amira Sailors Hockey Club,Lakers Hockey Club,1,2,Away,0,0,1,0,3.0
PLW,2026-07-04,Amira Sailors Hockey Club,USIU – A Ladies,1,0,Away,1,0,0,3,6.0
PLW,2026-05-23,Blazers Hockey Club,Kenyatta University Ladies,2,0,Home,1,0,0,3,
PLW,2026-05-24,Blazers Hockey Club,Amira Sailors Hockey Club,3,0,Away,1,0,0,3,
PLW,2026-06-01,Blazers Hockey Club,Strathmore University Ladies,3,1,Away,1,0,0,3,
PLW,2026-06-06,Blazers Hockey Club,Sliders Hockey Club,3,0,Home,1,0,0,3,
PLW,2026-06-07,Blazers Hockey Club,UON Ladies,0,0,Away,0,1,0,1,13.0
PLW,2026-06-21,Blazers Hockey Club,USIU – A Ladies,2,2,Away,0,1,0,1,11.0
PLW,2026-07-04,Blazers Hockey Club,Kisumu Queens,1,0,Home,1,0,0,3,11.0
PLW,2026-05-24,JKUAT Ladies,USIU – A Ladies,0,2,Away,0,0,1,0,
PLW,2026-05-23,Kenyatta University Ladies,Blazers Hockey Club,0,2,Away,0,0,1,0,
PLW,2026-05-24,Kenyatta University Ladies,Sliders Hockey Club,1,1,Home,0,1,0,1,
PLW,2026-05-24,Kisumu Queens,Lakers Hockey Club,0,0,Away,0,1,0,1,
PLW,2026-06-06,Kisumu Queens,USIU – A Ladies,0,0,Home,0,1,0,1,
PLW,2026-06-07,Kisumu Queens,Strathmore University Ladies,2,2,Home,0,1,0,1,
PLW,2026-06-27,Kisumu Queens,Amira Sailors Hockey Club,0,0,Home,0,1,0,1,
PLW,2026-07-04,Kisumu Queens,Blazers Hockey Club,0,1,Away,0,0,1,0,4.0
PLW,2026-07-05,Kisumu Queens,Sliders Hockey Club,1,0,Away,1,0,0,3,6.0
PLW,2026-05-24,Lakers Hockey Club,Kisumu Queens,0,0,Home,0,1,0,1,
PLW,2026-06-06,Lakers Hockey Club,Strathmore University Ladies,1,1,Home,0,1,0,1,
PLW,2026-06-07,Lakers Hockey Club,USIU – A Ladies,0,1,Home,0,0,1,0,
PLW,2026-06-20,Lakers Hockey Club,UON Ladies,2,1,Away,1,0,0,3,
PLW,2026-06-21,Lakers Hockey Club,Sliders Hockey Club,6,0,Away,1,0,0,3,8.0
PLW,2026-06-28,Lakers Hockey Club,Amira Sailors Hockey Club,2,1,Home,1,0,0,3,10.0
PLW,2026-05-24,Sliders Hockey Club,Kenyatta University Ladies,1,1,Away,0,1,0,1,
PLW,2026-06-01,Sliders Hockey Club,Amira Sailors Hockey Club,0,0,Away,0,1,0,1,
PLW,2026-06-06,Sliders Hockey Club,Blazers Hockey Club,0,3,Away,0,0,1,0,
PLW,2026-06-20,Sliders Hockey Club,USIU – A Ladies,0,2,Home,0,0,1,0,
PLW,2026-06-21,Sliders Hockey Club,Lakers Hockey Club,0,6,Home,0,0,1,0,2.0
PLW,2026-06-27,Sliders Hockey Club,Strathmore University Ladies,0,1,Away,0,0,1,0,1.0
PLW,2026-06-28,Sliders Hockey Club,UON Ladies,1,0,Home,1,0,0,3,3.0
PLW,2026-07-05,Sliders Hockey Club,Kisumu Queens,0,1,Home,0,0,1,0,3.0
PLW,2026-08-30,Sliders Hockey Club,Strathmore University Ladies,0,5,Home,0,0,1,0,3.0
PLW,2026-05-23,Strathmore University Ladies,USIU – A Ladies,0,0,Home,0,1,0,1,
PLW,2026-05-24,Strathmore University Ladies,UON Ladies,1,2,Home,0,0,1,0,
PLW,2026-06-01,Strathmore University Ladies,Blazers Hockey Club,1,3,Home,0,0,1,0,
PLW,2026-06-06,Strathmore University Ladies,Lakers Hockey Club,1,1,Away,0,1,0,1,
PLW,2026-06-07,Strathmore University Ladies,Kisumu Queens,2,2,Away,0,1,0,1,3.0
PLW,2026-06-20,Strathmore University Ladies,Amira Sailors Hockey Club,0,0,Home,0,1,0,1,3.0
PLW,2026-06-27,Strathmore University Ladies,Sliders Hockey Club,1,0,Home,1,0,0,3,6.0
PLW,2026-08-30,Strathmore University Ladies,Sliders Hockey Club,5,0,Away,1,0,0,3,9.0
PLW,2026-05-23,UON Ladies,Amira Sailors Hockey Club,0,1,Home,0,0,1,0,
PLW,2026-05-24,UON Ladies,Strathmore University Ladies,2,1,Away,1,0,0,3,
PLW,2026-06-01,UON Ladies,USIU – A Ladies,1,1,Away,0,1,0,1,
PLW,2026-06-07,UON Ladies,Blazers Hockey Club,0,0,Home,0,1,0,1,
PLW,2026-06-20,UON Ladies,Lakers Hockey Club,1,2,Home,0,0,1,0,5.0
PLW,2026-06-28,UON Ladies,Sliders Hockey Club,0,1,Away,0,0,1,0,5.0
PLW,2026-05-23,USIU – A Ladies,Strathmore University Ladies,0,0,Away,0,1,0,1,
PLW,2026-05-24,USIU – A Ladies,JKUAT Ladies,2,0,Home,1,0,0,3,
PLW,2026-06-01,USIU – A Ladies,UON Ladies,1,1,Home,0,1,0,1,
PLW,2026-06-06,USIU – A Ladies,Kisumu Queens,0,0,Away,0,1,0,1,
PLW,2026-06-07,USIU – A Ladies,Lakers Hockey Club,1,0,Away,1,0,0,3,9.0
PLW,2026-06-20,USIU – A Ladies,Sliders Hockey Club,2,0,Away,1,0,0,3,11.0
PLW,2026-06-21,USIU – A Ladies,Blazers Hockey Club,2,2,Home,0,1,0,1,9.0
PLW,2026-07-04,USIU – A Ladies,Amira Sailors Hockey Club,0,1,Home,0,0,1,0,8.0
SLM,2026-07-04,GHF Blue Pirates,Nakuru Hockey Club,1,0,Away,1,0,0,3,
SLM,2026-07-05,GHF Blue Pirates,Wazalendo Masters,2,0,Away,1,0,0,3,
SLM,2026-07-18,GHF Blue Pirates,Mvita XI,0,2,Home,0,0,1,0,
SLM,2026-07-19,GHF Blue Pirates,Impala,1,1,Away,0,1,0,1,
SLM,2026-06-13,Impala,Wazalendo Masters,3,3,Home,0,1,0,1,
SLM,2026-06-14,Impala,UON Men,2,1,Home,1,0,0,3,
SLM,2026-06-21,Impala,Mvita XI,4,4,Away,0,1,0,1,
SLM,2026-07-04,Impala,Strathmore University,3,3,Away,0,1,0,1,
SLM,2026-07-05,Impala,KCA University,0,4,Away,0,0,1,0,6.0
SLM,2026-07-12,Impala,Nakuru Hockey Club,2,2,Away,0,1,0,1,6.0
SLM,2026-07-18,Impala,Parkroad Badgers,2,1,Home,1,0,0,3,6.0
SLM,2026-07-19,Impala,GHF Blue Pirates,1,1,Home,0,1,0,1,6.0
SLM,2026-06-06,KCA University,UON Men,1,0,Away,1,0,0,3,
SLM,2026-06-07,KCA University,Parkroad Badgers,4,2,Away,1,0,0,3,
SLM,2026-06-14,KCA University,Wazalendo Masters,3,0,Away,1,0,0,3,
SLM,2026-06-20,KCA University,Parkroad Tigers,7,1,Away,1,0,0,3,
SLM,2026-06-27,KCA University,Mvita XI,1,2,Home,0,0,1,0,12.0
SLM,2026-07-05,KCA University,Impala,4,0,Home,1,0,0,3,12.0
SLM,2026-07-18,KCA University,Nakuru Hockey Club,4,2,Home,1,0,0,3,12.0
