Competition,TeamA,TeamB,Played,TeamA_Wins,Draws,TeamB_Wins
NLM-EZ,Gorillas,Mombasa West,1,0,0,1
NLM-EZ,Gorillas,Parklands Sports Club – Legacy,1,0,1,0
NLM-EZ,Gorillas,Snippers Hockey Club (Makueni),1,1,0,0
NLM-EZ,Gorillas,TUK Men,1,1,0,0
NLM-EZ,Gorillas,Ulinzi Patriots,1,0,0,1
NLM-EZ,Mombasa Sports Club,Mombasa West,1,1,0,0
NLM-EZ,Mombasa Sports Club,Parklands Sports Club – Legacy,1,0,1,0
NLM-EZ,Mombasa Sports Club,Ulinzi Patriots,1,0,1,0
NLM-EZ,Mombasa West,Parklands Sports Club – Legacy,1,0,1,0
NLM-EZ,Mombasa West,Ulinzi Patriots,1,0,1,0
NLM-EZ,Parklands Sports Club – Legacy,Snippers Hockey Club (Makueni),1,1,0,0
NLM-EZ,Parklands Sports Club – Legacy,Ulinzi Patriots,1,1,0,0
NLM-EZ,Parklands Sports Club – Legacy,UoN Cubs,1,0,0,1
NLM-EZ,Snippers Hockey Club (Makueni),Ulinzi Patriots,1,0,0,1
NLM-EZ,Snippers Hockey Club (Makueni),UoN Cubs,1,0,0,1
NLM-EZ,Ulinzi Patriots,UoN Cubs,1,1,0,0
NLM-CZ,Dukes of Gloucester,GHF Rift Pirates Men,1,0,0,1
NLM-CZ,Dukes of Gloucester,Nyari Hockey Club,1,1,0,0
NLM-CZ,Dukes of Gloucester,Thika Rovers,1,0,0,1
NLM-WZ,Fire Flickers,GHF Blue Pirates II,1,1,0,0
NLM-WZ,Fire Flickers,Kitale Hockey Club,1,0,0,1
NLM-WZ,Fire Flickers,Lakers Hockey Club Men,1,0,1,0
NLM-WZ,Fire Flickers,Nandi Hawks,1,0,0,1
NLM-WZ,GHF Blue Pirates II,Kitale Hockey Club,1,0,0,1
NLM-WZ,GHF Blue Pirates II,Lakers Hockey Club Men,1,0,0,1
NLM-WZ,GHF Blue Pirates II,Nandi Hawks,1,0,1,0
NLM-WZ,Kitale Hockey Club,Lakers Hockey Club Men,1,1,0,0
NLM-WZ,Kitale Hockey Club,Nandi Hawks,1,1,0,0
NLM-WZ,Kitale Hockey Club,Western Jaguars Dev,1,1,0,0
NLM-WZ,Lakers Hockey Club Men,Nandi Hawks,1,1,0,0
NLM-SZ,Bay Club,Gorillas Hockey CLub – Migori,1,1,0,0
NLM-SZ,Bay Club,Kisii Falcons,1,0,0,1
NLM-SZ,Bay Club,Oyugis Hockey Club,1,1,0,0
NLM-SZ,Gorillas Hockey CLub – Migori,Kisii Falcons,1,0,0,1
NLM-SZ,Gorillas Hockey CLub – Migori,Oyugis Hockey Club,1,1,0,0
NLM-SZ,Kisii Falcons,Oyugis Hockey Club,1,1,0,0
