Competition,Season,MatchNo,Date,HomeTeam,AwayTeam,Minute,Event,Player,Team
PLM,2026,19.0,30-05-2026,Parklands Sports Club,Daikyo Heroes,46',Yellow card,Daniel Matara,Parklands Sports Club
PLM,2026,19.0,30-05-2026,Parklands Sports Club,Daikyo Heroes,52',Green Card,Martin Omondi,Parklands Sports Club
PLM,2026,19.0,30-05-2026,Parklands Sports Club,Daikyo Heroes,53',Goal,Khizar Akhtar,Daikyo Heroes
PLM,2026,19.0,30-05-2026,Parklands Sports Club,Daikyo Heroes,54',Yellow card,Lawrence Okongo,Daikyo Heroes
PLM,2026,24.0,31-05-2026,Parklands Sports Club,Kenya Police,9',Goal,William Kirwa,Parklands Sports Club
PLM,2026,24.0,31-05-2026,Parklands Sports Club,Kenya Police,45',Goal,Brian Saina,Kenya Police
PLM,2026,24.0,31-05-2026,Parklands Sports Club,Kenya Police,46',Goal,Moses Omamu,Parklands Sports Club
PLM,2026,24.0,31-05-2026,Parklands Sports Club,Kenya Police,60',Goal,Kennedy Sibweche,Kenya Police
PLM,2026,49.0,13-06-2026,Parklands Sports Club,Warriors,2',Goal,George Mutira,Warriors
PLM,2026,49.0,13-06-2026,Parklands Sports Club,Warriors,13',Goal,Festus Onyango,Warriors
PLM,2026,49.0,13-06-2026,Parklands Sports Club,Warriors,43',Goal,Edson Ndombi,Warriors
PLM,2026,49.0,13-06-2026,Parklands Sports Club,Warriors,51',Goal,Calvins Kanu Omondi,Warriors
PLM,2026,49.0,13-06-2026,Parklands Sports Club,Warriors,55',Goal,Valentine Keya,Parklands Sports Club
PLM,2026,49.0,13-06-2026,Parklands Sports Club,Warriors,27',Green Card,Calvins Kanu Omondi,Warriors
PLM,2026,49.0,13-06-2026,Parklands Sports Club,Warriors,43',Green Card,William Kirwa,Parklands Sports Club
PLM,2026,49.0,13-06-2026,Parklands Sports Club,Warriors,49',Green Card,George Mutira,Warriors
PLM,2026,49.0,13-06-2026,Parklands Sports Club,Warriors,53',Green Card,Allan Iningu,Warriors
PLM,2026,21.0,31-05-2026,Sikh Union Nairobi,Daikyo Heroes,10',Goal,Esbon Ombui,Daikyo Heroes
PLM,2026,21.0,31-05-2026,Sikh Union Nairobi,Daikyo Heroes,12',Goal,Farhan Khan,Daikyo Heroes
PLM,2026,21.0,31-05-2026,Sikh Union Nairobi,Daikyo Heroes,21',Goal,Cliff Omari,Sikh Union Nairobi
PLM,2026,21.0,31-05-2026,Sikh Union Nairobi,Daikyo Heroes,25',Goal,Mathias Gularire,Sikh Union Nairobi
PLM,2026,21.0,31-05-2026,Sikh Union Nairobi,Daikyo Heroes,28',Goal,Cliff Omari,Sikh Union Nairobi
PLM,2026,21.0,31-05-2026,Sikh Union Nairobi,Daikyo Heroes,42',Goal,Mathias Gularire,Sikh Union Nairobi
PLM,2026,21.0,31-05-2026,Sikh Union Nairobi,Daikyo Heroes,45',Goal,Fofana Mohammed,Sikh Union Nairobi
PLM,2026,21.0,31-05-2026,Sikh Union Nairobi,Daikyo Heroes,48',Green Card,Obare Joseph Otora,Sikh Union Nairobi
PLM,2026,21.0,31-05-2026,Sikh Union Nairobi,Daikyo Heroes,39',Yellow card,Arjun Uupta,Sikh Union Nairobi
PLM,2026,21.0,31-05-2026,Sikh Union Nairobi,Daikyo Heroes,48',Goal,Bonny Ndombi,Daikyo Heroes
PLM,2026,21.0,31-05-2026,Sikh Union Nairobi,Daikyo Heroes,49',Green Card,Kim Webi,Sikh Union Nairobi
PLM,2026,21.0,31-05-2026,Sikh Union Nairobi,Daikyo Heroes,49',Yellow card,Bonny Ndombi,Daikyo Heroes
PLM,2026,21.0,31-05-2026,Sikh Union Nairobi,Daikyo Heroes,51',Green Card,Esbon Ombui,Daikyo Heroes
PLM,2026,21.0,31-05-2026,Sikh Union Nairobi,Daikyo Heroes,52',Goal,Mathias Gularire,Sikh Union Nairobi
PLM,2026,21.0,31-05-2026,Sikh Union Nairobi,Daikyo Heroes,55',Yellow card,Khizar Akhtar,Daikyo Heroes
PLM,2026,13.0,24-05-2026,Sikh Union Nairobi,Greensharks,8',Green Card,Kennedy Juma,Greensharks
PLM,2026,13.0,24-05-2026,Sikh Union Nairobi,Greensharks,30',Goal,Cliff Omari,Sikh Union Nairobi
PLM,2026,13.0,24-05-2026,Sikh Union Nairobi,Greensharks,35',Green Card,Mathias Gularire,Sikh Union Nairobi
PLM,2026,13.0,24-05-2026,Sikh Union Nairobi,Greensharks,35',Yellow card,Mathias Gularire,Sikh Union Nairobi
PLM,2026,13.0,24-05-2026,Sikh Union Nairobi,Greensharks,36',Yellow card,Samuel Namonyo,Greensharks
PLM,2026,13.0,24-05-2026,Sikh Union Nairobi,Greensharks,45',Green Card,Ian Oyale,Greensharks
PLM,2026,13.0,24-05-2026,Sikh Union Nairobi,Greensharks,55',Yellow card,Cyprian Mukhokho,Greensharks
PLM,2026,18.0,30-05-2026,USIU – A,Sikh Union Nairobi,10',Goal,Mathias Gularire,Sikh Union Nairobi
PLM,2026,18.0,30-05-2026,USIU – A,Sikh Union Nairobi,18',Goal,Robinson Omutekete,USIU – A
PLM,2026,18.0,30-05-2026,USIU – A,Sikh Union Nairobi,23',Goal,Kabir Bhamra,Sikh Union Nairobi
PLM,2026,18.0,30-05-2026,USIU – A,Sikh Union Nairobi,35',Goal,Mathias Gularire,Sikh Union Nairobi
PLM,2026,18.0,30-05-2026,USIU – A,Sikh Union Nairobi,44',Yellow card,Arnold Abedie,Sikh Union Nairobi
PLM,2026,18.0,30-05-2026,USIU – A,Sikh Union Nairobi,45',Goal,Borris Lukurito,USIU – A
PLM,2026,18.0,30-05-2026,USIU – A,Sikh Union Nairobi,50',Green Card,Arjun Uupta,Sikh Union Nairobi
PLM,2026,11.0,24-05-2026,USIU – A,Wazalendo,7',Goal,Isaac Nandukele,Wazalendo
PLM,2026,11.0,24-05-2026,USIU – A,Wazalendo,27',Green Card,Griffin Bosire,Wazalendo
PLM,2026,11.0,24-05-2026,USIU – A,Wazalendo,36',Green Card,Michael Mboya,Wazalendo
PLM,2026,11.0,24-05-2026,USIU – A,Wazalendo,40',Green Card,Michael Mboya,Wazalendo
PLM,2026,11.0,24-05-2026,USIU – A,Wazalendo,57',Yellow card,Wayne Kipkorir Chongwony,USIU – A
PLM,2026,11.0,24-05-2026,USIU – A,Wazalendo,59',Yellow card,Griffin Bosire,Wazalendo
PLM,2026,11.0,24-05-2026,USIU – A,Wazalendo,48',Green Card,Robinson Omutekete,USIU – A
PLM,2026,11.0,24-05-2026,USIU – A,Wazalendo,42',Yellow card,Hillary Odhiambo,USIU – A
PLM,2026,16.0,24-05-2026,Warriors,Kenya Police,13',Goal,Calvins Kanu Omondi,Warriors
PLM,2026,16.0,24-05-2026,Warriors,Kenya Police,25',Green Card,Calvins Kanu Omondi,Warriors
PLM,2026,16.0,24-05-2026,Warriors,Kenya Police,37',Goal,Robert Masibo,Kenya Police
PLM,2026,25.0,31-05-2026,Warriors,USIU – A,15',Goal,Lawrence Makhatsa,USIU – A
PLM,2026,25.0,31-05-2026,Warriors,USIU – A,36',Green Card,Ian Mwaliki,USIU – A
PLM,2026,25.0,31-05-2026,Warriors,USIU – A,38',Goal,Francis Kariuki,Warriors
PLM,2026,25.0,31-05-2026,Warriors,USIU – A,40',Green Card,Frankline Wakhongo,Warriors
PLM,2026,25.0,31-05-2026,Warriors,USIU – A,44',Goal,Paul Omariba,Warriors
PLM,2026,25.0,31-05-2026,Warriors,USIU – A,44',Red Card,JohnMark Odera,Warriors
PLM,2026,8.0,23-05-2026,Warriors,Wazalendo,15',Goal,Job Wandera,Wazalendo
PLM,2026,8.0,23-05-2026,Warriors,Wazalendo,27',Goal,Michael Mboya,Wazalendo
PLM,2026,8.0,23-05-2026,Warriors,Wazalendo,34',Goal,Festus Onyango,Warriors
PLM,2026,8.0,23-05-2026,Warriors,Wazalendo,39',Green Card,Moses Ademba,Warriors
PLM,2026,8.0,23-05-2026,Warriors,Wazalendo,41',Goal,Mathew Momanyi,Wazalendo
PLM,2026,8.0,23-05-2026,Warriors,Wazalendo,42',Green Card,Isaac Nandukele,Wazalendo
PLM,2026,8.0,23-05-2026,Warriors,Wazalendo,43',Goal,Calvins Kanu Omondi,Warriors
PLM,2026,8.0,23-05-2026,Warriors,Wazalendo,53',Green Card,Calvins Kanu Omondi,Warriors
PLM,2026,8.0,23-05-2026,Warriors,Wazalendo,60',Goal,Frankline Wakhongo,Warriors
PLM,2026,8.0,23-05-2026,Warriors,Wazalendo,60',Yellow card,Griffin Bosire,Wazalendo
PLM,2026,22.0,31-05-2026,Wazalendo,Kisumu Youngsters,09',Goal,Austin Mutua,Wazalendo
PLM,2026,22.0,31-05-2026,Wazalendo,Kisumu Youngsters,39',Goal,Malack Masese,Kisumu Youngsters
PLM,2026,22.0,31-05-2026,Wazalendo,Kisumu Youngsters,43',Green Card,Malack Masese,Kisumu Youngsters
PLM,2026,22.0,31-05-2026,Wazalendo,Kisumu Youngsters,45',Green Card,Duncan Opanda,Kisumu Youngsters
PLM,2026,22.0,31-05-2026,Wazalendo,Kisumu Youngsters,48',Goal,Job Wandera,Wazalendo
PLM,2026,22.0,31-05-2026,Wazalendo,Kisumu Youngsters,51',Goal,Mathew Momanyi,Wazalendo
PLM,2026,17.0,30-05-2026,Wazalendo,Western Jaguars,2',Goal,Michael Mboya,Wazalendo
PLM,2026,17.0,30-05-2026,Wazalendo,Western Jaguars,13',Goal,Godfrey Fedha,Western Jaguars
PLM,2026,17.0,30-05-2026,Wazalendo,Western Jaguars,18',Green Card,Willis Malesi,Western Jaguars
PLM,2026,17.0,30-05-2026,Wazalendo,Western Jaguars,20',Green Card,Michael Mboya,Wazalendo
PLM,2026,17.0,30-05-2026,Wazalendo,Western Jaguars,29',Goal,Job Wandera,Wazalendo
PLM,2026,17.0,30-05-2026,Wazalendo,Western Jaguars,40',Goal,Bethuel Masambu,Western Jaguars
PLM,2026,17.0,30-05-2026,Wazalendo,Western Jaguars,42',Yellow card,Ivan Ludiali,Western Jaguars
PLM,2026,17.0,30-05-2026,Wazalendo,Western Jaguars,42',Yellow card,Basil Ongocho,Wazalendo
PLM,2026,17.0,30-05-2026,Wazalendo,Western Jaguars,47',Goal,Job Wandera,Wazalendo
PLM,2026,17.0,30-05-2026,Wazalendo,Western Jaguars,49',Green Card,Job Wandera,Wazalendo
PLM,2026,17.0,30-05-2026,Wazalendo,Western Jaguars,55',Yellow card,Allan Munene,Wazalendo
PLM,2026,17.0,30-05-2026,Wazalendo,Western Jaguars,59',Yellow card,Brian Anzeze,Western Jaguars
PLM,2026,4.0,23-05-2026,Western Jaguars,Kisumu Youngsters,10',Goal,Ketane Okoth,Kisumu Youngsters
PLM,2026,4.0,23-05-2026,Western Jaguars,Kisumu Youngsters,18',Green Card,Moses Ooga,Kisumu Youngsters
PLM,2026,4.0,23-05-2026,Western Jaguars,Kisumu Youngsters,21',Goal,Ivan Ludiali,Western Jaguars
PLM,2026,4.0,23-05-2026,Western Jaguars,Kisumu Youngsters,55',Goal,Godfrey Fedha,Western Jaguars
PLM,2026,4.0,23-05-2026,Western Jaguars,Kisumu Youngsters,15',Green Card,Duncan Kachisa,Kisumu Youngsters
PLM,2026,4.0,23-05-2026,Western Jaguars,Kisumu Youngsters,40',Yellow card,Asher Ochieng,Kisumu Youngsters
